Techstack,Link to portfolio
"React, Node.js, MongoDB, Express.js",https://my_portfolio/react-node-mongo-express.com
"Django, PostgreSQL, Docker, Redis",https://my_portfolio/django-postgres-docker-redis.com
"Angular, Spring Boot, MySQL, RabbitMQ",https://my_portfolio/angular-springboot-mysql-rabbitmq.com
"Vue.js, Flask, SQLite, AWS Lambda", https://my_portfolio/vue-flask-sqlite-aws-lambda.com
"Next.js, Tailwind CSS, Firebase, Cloud Functions",https://my_portfolio/next-tailwind-firebase-cloudfunctions.com
"Ruby on Rails, PostgreSQL, Heroku, Sidekiq",https://my_portfolio/ruby-postgres-heroku-sidekiq.com
"Express.js, Vue.js, MongoDB, Nginx",https://my_portfolio/express-vue-mongo-nginx.com
"Laravel, Vue.js, MariaDB, Vagrant",https://my_portfolio/laravel-vue-mariadb-vagrant.com
"React Native, GraphQL, Apollo Client, SQLite",https://my_portfolio/reactnative-graphql-apollo-sqlite.com
"ASP.NET Core, Angular, SQL Server, Azure Functions",https://my_portfolio/aspnet-angular-sqlserver-azure.com
"Flutter, Firebase Firestore, Google Cloud Run, Material Design",https://my_portfolio/flutter-firestore-cloudrun-material.com
"Kotlin, Spring Boot, PostgreSQL, Kubernetes",https://my_portfolio/kotlin-springboot-postgres-kubernetes.com
"Swift, Vapor, MongoDB, AWS Amplify",https://my_portfolio/swift-vapor-mongo-amplify.com
"TensorFlow, PyTorch, FastAPI, Docker",https://my_portfolio/tensorflow-pytorch-fastapi-docker.com
"OpenCV, Scikit-learn, Flask, SQLite",https://my_portfolio/opencv-scikit-flask-sqlite.com
"FastAPI, PostgreSQL, React, AWS S3","https://my_portfolio/fastapi-postgres-react-aws.com
"
"Hadoop, Spark, Cassandra, Kafka",https://my_portfolio/hadoop-spark-cassandra-kafka.com
"Flask, PyTorch, MongoDB, Streamlit",https://my_portfolio/flask-pytorch-mongo-streamlit.com
"Unity, C#, Firebase Realtime Database, Photon Engine",https://my_portfolio/unity-csharp-firebase-photon.com
"Electron.js, SQLite, Tailwind CSS, Node.js",https://my_portfolio/electron-sqlite-tailwind-node.com
